rank,team,conference,record,adj_em,adj_o,adj_o_rank,adj_d,adj_d_rank,adj_tempo,adj_tempo_rank,luck,luck_rank,sos_adj_em,sos_adj_em_rank,sos_adj_o,sos_adj_o_rank,sos_adj_d,sos_adj_d_rank,nc_sos_adj_em,nc_sos_adj_em_rank,ncaa_seed,Season,TeamName
289,Tennessee Martin,OVC,12-19,-10.62,104.5,167,115.2,346,68.3,130,0.009,156,-3.24,231,102.9,218,106.2,231,-0.49,182,,2019,Tennessee Martin
290,George Washington,A10,9-24,-10.68,95.2,319,105.9,207,67.1,199,-0.009,206,-0.18,149,102.9,222,103,111,-1.95,228,,2019,G Washington
291,Oral Roberts,Sum,11-21,-10.72,103.3,193,114,335,66.7,218,0.013,146,-1.21,179,105.3,100,106.5,247,4,66,,2019,Oral Roberts
292,Tulane,Amer,4-27,-10.78,96.5,304,107.3,237,69.6,75,-0.042,281,3.24,86,105.6,91,102.3,89,-3.76,273,,2019,Tulane
293,Monmouth,MAAC,14-21,-10.87,93,334,103.9,163,67.3,186,0.047,69,-4.75,272,102.4,236,107.1,286,3.64,78,,2019,Monmouth NJ
294,Western Illinois,Sum,10-21,-10.97,97.3,296,108.3,254,67.2,190,-0.106,343,-4.51,263,104.3,149,108.8,346,-5.33,317,,2019,Western Illinois
295,Tennessee St.,OVC,9-21,-11.08,98.4,281,109.5,271,69.3,87,-0.062,314,-2.05,204,102.8,223,104.9,190,4.48,55,,2019,Tennessee St
296,Central Arkansas,Slnd,14-19,-11.17,99.8,259,110.9,303,70.4,52,0.019,135,-4.3,257,101,297,105.3,201,8.37,8,,2019,Central Arkansas
297,Charlotte,CUSA,8-21,-11.17,95.4,317,106.6,224,64.4,322,-0.005,195,-1.54,187,102.1,255,103.6,133,-0.11,173,,2019,Charlotte
298,UTEP,CUSA,8-21,-11.22,89.8,342,101.1,112,67.8,149,-0.086,334,-2.22,208,102.1,260,104.3,171,-1.57,214,,2019,UTEP
299,Lafayette,Pat,10-20,-11.27,101.4,232,112.7,324,68.7,110,0.004,172,-4.37,261,102.2,248,106.6,250,-3.51,269,,2019,Lafayette
300,Milwaukee,Horz,9-22,-11.34,98.2,282,109.5,272,65.9,261,0.016,142,-2.7,218,103.5,183,106.2,237,-1.68,217,,2019,WI Milwaukee
301,Fairfield,MAAC,9-22,-11.49,95.7,315,107.2,236,67.7,156,-0.094,339,-7.86,332,99.3,334,107.1,284,-2.86,250,,2019,Fairfield
302,North Carolina A&T;,MEAC,19-13,-11.58,96.3,306,107.9,246,65.5,279,0.099,9,-10.74,349,97.7,347,108.4,339,3.61,80,,2019,NC A&T;
303,North Carolina Central,MEAC,18-15,-11.89,96.6,301,108.5,256,65.2,292,0.004,170,-12.17,352,96.4,353,108.6,341,1.47,122,16,2019,NC Central
304,Northern Arizona,BSky,10-21,-11.92,100.4,251,112.3,319,68.4,126,-0.036,268,-6.2,292,102.1,261,108.3,331,0.32,158,,2019,Northern Arizona
305,Elon,CAA,11-21,-12.11,98.9,274,111,305,67.8,148,-0.002,188,-3.78,249,104.3,145,108.1,327,-3.36,264,,2019,Elon
306,Bethune Cookman,MEAC,14-17,-12.12,93.3,332,105.4,199,72.1,19,-0.03,255,-10.92,350,98.4,342,109.3,352,-1.47,211,,2019,Bethune Cookman
307,Eastern Illinois,OVC,14-18,-12.24,99.5,262,111.8,312,66.8,215,0.094,12,-4.91,276,102.5,231,107.5,305,-3.91,281,,2019,Eastern Illinois
308,Howard,MEAC,17-16,-12.39,101.8,222,114.2,337,71.1,32,0.025,115,-9.92,346,97.2,350,107.1,280,-0.17,174,,2019,Howard
309,Southeast Missouri St.,OVC,10-21,-12.47,97.4,294,109.8,280,67.5,173,-0.033,264,-3.6,242,103,212,106.6,249,-2.65,244,,2019,Southeast Missouri St
310,Nicholls St.,Slnd,14-17,-12.65,98.6,279,111.3,307,68.3,128,-0.005,193,-6.98,312,101,298,108,325,3.57,81,,2019,Nicholls St
